model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
No-perturbation,test_combo_0_unseen,0.0,0.00709559136620638,0.0,0.0,22
No-perturbation,test_combo_1_unseen,0.0,0.008110426915877992,0.0,0.0,51
No-perturbation,test_combo_2_unseen,0.0,0.012288978742435574,0.0,0.0,5
No-perturbation,test_unseen_single,0.0,0.0030636297980471193,0.0,0.0,26
No-perturbation,"train (seen, sanity check)",0.0,0.0052492120011072875,0.0,0.0,132
Mean-shift,test_combo_0_unseen,0.5731817375529896,0.004996870027918538,0.6522299887781794,0.8509090909090908,22
Mean-shift,test_combo_1_unseen,0.394775656070195,0.006968943984247744,0.37272045929350106,0.7862745098039216,51
Mean-shift,test_combo_2_unseen,0.39824451208114625,0.010887419525533914,0.37925210893154143,0.8240000000000001,5
Mean-shift,test_unseen_single,0.3367381174690448,0.0030152288941630665,0.33608942650831664,0.7623076923076924,26
Mean-shift,"train (seen, sanity check)",0.5062463800422847,0.003966482844782259,0.5553594105453654,0.8172727272727273,132
Ridge (co-expression only),test_combo_0_unseen,0.6544035804100523,0.004251801693502787,0.7297608104028886,0.8972727272727272,22
Ridge (co-expression only),test_combo_1_unseen,0.5562938498445331,0.005321306867014175,0.5921403546121011,0.8423529411764706,51
Ridge (co-expression only),test_combo_2_unseen,0.6606680930609927,0.007400871619077378,0.7172980804822344,0.8879999999999999,5
Ridge (co-expression only),test_unseen_single,0.3494070358742899,0.0028184804250255793,0.3569792798984317,0.7584615384615384,26
Ridge (co-expression only),"train (seen, sanity check)",0.6389392408391602,0.0027844134010982058,0.7029439584160302,0.8725757575757576,132
Ridge (co-expression + pert-response),test_combo_0_unseen,0.8981908056776138,0.0015081773562646541,0.944251533808992,0.9900000000000001,22
Ridge (co-expression + pert-response),test_combo_1_unseen,0.6893226952653925,0.0036372296560877094,0.7361810978901339,0.8811764705882352,51
Ridge (co-expression + pert-response),test_combo_2_unseen,0.40607241251218823,0.010937873330856425,0.3987515244270759,0.784,5
Ridge (co-expression + pert-response),test_unseen_single,0.33871588315093776,0.002728395464989333,0.337287782252931,0.7507692307692307,26
Ridge (co-expression + pert-response),"train (seen, sanity check)",0.8863174918777296,0.0005827956164752489,0.9309027614982381,0.9731818181818183,132
