perturbation,e_distance
JUN_CEBPA,20.973788628760467
CEBPA,18.762326278352038
CEBPE_SPI1,17.317897986084553
CEBPB_CEBPA,16.82497152433786
IRF1_SET,14.681703460512487
CEBPE_CEBPA,14.45005272275566
ZC3HAV1_CEBPA,13.863969261379099
KLF1_CEBPA,12.254011681088041
AHR_FEV,11.581107083509627
FOSB_CEBPB,11.566302346782889
FOSB_CEBPE,10.593510839546115
ZBTB10_DLX2,10.412672123449743
FEV_CBFA2T3,9.990958753451155
CEBPE_CEBPB,9.955958942760065
ETS2_MAPK1,9.855542826371583
CEBPB_OSR2,9.068736506276585
FOSB_OSR2,8.845959394601017
JUN_CEBPB,8.654877786738973
DUSP9_SNAI1,7.845195141031324
IRF1,7.832498334620196
FEV_ISL2,7.760635303492107
ZBTB10_SNAI1,7.2258294249379045
CEBPE,6.898417951997994
TP73,6.876113396246636
CEBPB,6.698851573339223
ETS2_CEBPE,6.693726664891978
SGK1_S1PR2,6.693141038158592
CBL_CNN1,6.6517233095509685
CEBPB_MAPK1,6.579090980291449
UBASH3B_CNN1,6.408261676667365
DUSP9_PRTG,6.357896067484804
DUSP9_IGDCC3,6.305956882836714
DUSP9_KLF1,6.289942205189066
RHOXF2_SET,5.57513692931677
KLF1_CLDN6,5.566952963393879
FEV_MAP7D1,5.5483291248014
CNN1_UBASH3A,5.333616622309856
FEV,5.324763949831162
SPI1,5.154224944036448
ETS2_IKZF3,5.128816171057434
SET,5.084254739044743
FOXA3_FOXL2,5.07368302296201
SGK1_TBX3,5.009786870212183
IKZF3,4.800644541356849
SNAI1_DLX2,4.793671348355799
HES7,4.779675948823035
TBX3_TBX2,4.732627441554261
PRDM1_CBFA2T3,4.718762734513648
LYL1_CEBPB,4.5470270241868835
DUSP9,4.52822542918063
FOXA3_HOXB9,4.385708358505136
FOXL2_HOXB9,4.366393284695919
MAP2K3_IKZF3,4.336540765824051
KLF1_COL2A1,4.264508255279473
IGDCC3_PRTG,4.251776855916086
MAPK1,4.217685747842966
MAP2K6_IKZF3,4.183191534485433
MAPK1_IKZF3,4.180984014736758
COL2A1,4.124807205438108
IGDCC3_ZBTB25,4.117874981704006
HOXA13,3.983342957504453
CBL_UBASH3B,3.925449950288863
SET_CEBPE,3.878655434149719
ZBTB10_ELMSAN1,3.874930856926701
COL1A1,3.8682810126865625
OSR2,3.787929658491386
FOXA3_FOXA1,3.704746263354272
SET_KLF1,3.6937759183266206
CEBPB_PTPN12,3.6563407947102426
TBX3,3.633138856817702
POU3F2_FOXL2,3.6328164387900266
FOXF1_FOXL2,3.592045343376954
FOXA1_HOXB9,3.5798484418377914
SLC4A1,3.531904582978102
PTPN12_UBASH3A,3.521172623438888
CLDN6,3.5171255826501806
SAMD1_ZBTB1,3.4000989114809155
DUSP9_ETS2,3.397142385630614
PRDM1,3.391852658337756
PTPN12_ZBTB25,3.2849860615573068
SAMD1_PTPN12,3.2784672587613954
TGFBR2_PRTG,3.2066451818525223
CBL_PTPN12,3.1734135996034922
LHX1_ELMSAN1,3.150941936624262
ZBTB10,3.1309563207028486
UBASH3B_PTPN12,3.1272063614682803
RHOXF2_ZBTB25,3.0890681255021395
ETS2_MAP7D1,3.0317713575935716
CEBPE_RUNX1T1,2.955175094654889
SGK1_TBX2,2.9499599828496468
AHR_KLF1,2.931322860399826
KLF1_FOXA1,2.9229409251228855
ZBTB10_PTPN12,2.9131365517020935
PRTG,2.89783646441737
LYL1_IER5L,2.876949696112902
ETS2_PRTG,2.8743279442475647
FOXA1_FOXL2,2.8626711012141985
UBASH3B_PTPN9,2.8197415924291693
CEBPE_CNN1,2.7586409801180114
FOSB_IKZF3,2.7578024854791714
UBASH3B_ZBTB25,2.743084185117864
SAMD1_UBASH3B,2.7129988039351645
MAPK1_TGFBR2,2.7035478715248757
S1PR2,2.6739268115178696
AHR,2.6295686573758204
PTPN12_PTPN9,2.5767172370195137
BPGM_SAMD1,2.5379957307035763
FOXF1_HOXB9,2.5181636801622727
LHX1,2.4650725381740113
TGFBR2_IGDCC3,2.44554439147516
ATL1,2.417986110675958
BPGM_ZBTB1,2.411242586001663
MAPK1_PRTG,2.4103727767459624
FOXL2_MEIS1,2.4003164977010787
HOXC13,2.380850550621176
CDKN1C_CDKN1A,2.3257353434816945
RHOXF2,2.2798375954270735
