model,category,pearson_delta,mse,de_pearson_delta,direction_accuracy,n_perturbations
No-perturbation,test_combo_0_unseen,0.0,0.0070955913662063,0.0,0.0,22
No-perturbation,test_combo_1_unseen,0.0,0.0081104269158779,0.0,0.0,51
No-perturbation,test_combo_2_unseen,0.0,0.0122889787424355,0.0,0.0,5
No-perturbation,test_unseen_single,0.0,0.0030636297980471,0.0,0.0,26
No-perturbation,"train (seen, sanity check)",0.0,0.0052492120011072,0.0,0.0,132
Mean-shift,test_combo_0_unseen,0.5731817375529896,0.0049968700279185,0.6522299887781794,0.8509090909090908,22
Mean-shift,test_combo_1_unseen,0.394775656070195,0.0069689439842477,0.372720459293501,0.7862745098039216,51
Mean-shift,test_combo_2_unseen,0.3982445120811462,0.0108874195255339,0.3792521089315414,0.8240000000000001,5
Mean-shift,test_unseen_single,0.3367381174690448,0.003015228894163,0.3360894265083166,0.7623076923076924,26
Mean-shift,"train (seen, sanity check)",0.5062463800422847,0.0039664828447822,0.5553594105453654,0.8172727272727273,132
Ridge (co-expression only),test_combo_0_unseen,0.6544035804100523,0.0042518016935027,0.7297608104028886,0.8972727272727272,22
Ridge (co-expression only),test_combo_1_unseen,0.5562938498445331,0.0053213068670141,0.5921403546121011,0.8423529411764706,51
Ridge (co-expression only),test_combo_2_unseen,0.6606680930609927,0.0074008716190773,0.7172980804822344,0.8879999999999999,5
Ridge (co-expression only),test_unseen_single,0.3494070358742899,0.0028184804250255,0.3569792798984317,0.7584615384615384,26
Ridge (co-expression only),"train (seen, sanity check)",0.6389392408391602,0.0027844134010982,0.7029439584160302,0.8725757575757576,132
Ridge (co-expression + pert-response),test_combo_0_unseen,0.8981908056776138,0.0015081773562646,0.944251533808992,0.99,22
Ridge (co-expression + pert-response),test_combo_1_unseen,0.6893226952653925,0.0036372296560877,0.7361810978901339,0.8811764705882352,51
Ridge (co-expression + pert-response),test_combo_2_unseen,0.4060724125121882,0.0109378733308564,0.3987515244270759,0.784,5
Ridge (co-expression + pert-response),test_unseen_single,0.3387158831509377,0.0027283954649893,0.337287782252931,0.7507692307692307,26
Ridge (co-expression + pert-response),"train (seen, sanity check)",0.8863174918777296,0.0005827956164752,0.930902761498238,0.9731818181818184,132
MLP (full),test_combo_0_unseen,0.8989907232197848,0.0014475503743266,0.9471793391487816,0.9963636363636365,22
MLP (full),test_combo_1_unseen,0.6877701958897067,0.0033951048178863,0.7402037989859488,0.8686274509803921,51
MLP (full),test_combo_2_unseen,0.3917390942573547,0.0108319881372153,0.5002859950065612,0.784,5
MLP (full),test_unseen_single,0.2652142570855526,0.0028999790564949,0.3010972786981326,0.6961538461538462,26
MLP (full),"train (seen, sanity check)",0.9781359402196748,5.32815787863683e-05,0.9916121698915958,0.99875,112
MLP (coexpr_only),test_combo_0_unseen,0.7120781202207912,0.0039755095653659,0.776842088861899,0.9209090909090908,22
MLP (coexpr_only),test_combo_1_unseen,0.4998985080450189,0.0055685530681455,0.5524923652410507,0.8003921568627451,51
MLP (coexpr_only),test_combo_2_unseen,0.202794300019741,0.0126907296478748,0.212871453166008,0.716,5
MLP (coexpr_only),test_unseen_single,0.2507527107014679,0.0043649605202237,0.303114607070501,0.7161538461538461,26
MLP (coexpr_only),"train (seen, sanity check)",0.7663828020782343,0.0010827475209355,0.8232795134785452,0.9225,112
