perturbation,n_cells
control,11849
KLF1,1959
BAK1,1457
CEBPE,1233
CEBPE_RUNX1T1,1217
UBASH3B,1202
ETS2,1201
TBX3_TBX2,1167
OSR2,1003
SLC4A1,999
SET,986
ELMSAN1,935
ETS2_CNN1,905
MAP2K6,878
FOXF1,874
C19orf26,872
FOXA1,851
UBASH3A,817
UBASH3B_OSR2,796
DUSP9_ETS2,787
RUNX1T1,779
MEIS1,776
CNN1,765
MAPK1,765
MAP7D1,751
ZBTB25,740
DUSP9,731
DLX2,731
FEV,704
HOXB9,701
ZBTB1,692
TBX3,690
TBX2,690
PRTG,684
IKZF3,681
CLDN6,670
SET_KLF1,666
CBL,663
SET_CEBPE,658
CBFA2T3,657
FOXL2,652
ZNF318,650
LHX1_ELMSAN1,646
TGFBR2,645
KIF2C,634
FOSB,630
MAML2,626
LYL1_IER5L,623
ZC3HAV1_HOXC13,618
SPI1,613
IGDCC3,613
COL2A1,598
BCL2L11,582
ISL2,582
MAP2K3_ELMSAN1,581
MAP2K3,579
MAP2K3_MAP2K6,571
SLC6A9,558
AHR,558
UBASH3B_UBASH3A,554
CDKN1B,549
TMSB4X,543
S1PR2,541
BCORL1,533
ZC3HAV1,516
MAPK1_PRTG,500
SAMD1,498
MAPK1_TGFBR2,496
ARRDC3,495
FOXA3,494
CEBPB,488
SGK1,482
AHR_KLF1,481
CSRNP1,477
CELF2,475
CNNM4,470
CEBPE_KLF1,468
SNAI1,467
BPGM,464
GLB1L2,463
BCL2L11_TGFBR2,462
ETS2_MAPK1,459
CEBPA,458
MAP2K6_ELMSAN1,451
PTPN9,445
PTPN12,445
ETS2_PRTG,445
IRF1_SET,444
ETS2_IKZF3,444
TSC22D1,441
ETS2_IGDCC3,441
LYL1,432
IRF1,427
FOSB_UBASH3B,426
PTPN1,419
CEBPE_PTPN12,415
CEBPB_MAPK1,412
ZC3HAV1_CEBPE,410
CBL_UBASH3B,409
IER5L,405
UBASH3B_CNN1,402
CNN1_MAPK1,398
KLF1_BAK1,393
HOXC13,384
DUSP9_IGDCC3,382
FOSB_OSR2,382
ATL1,379
LHX1,375
IGDCC3_MAPK1,367
MAP4K5,366
DUSP9_KLF1,366
PTPN12_PTPN9,364
MAP4K3,363
KLF1_FOXA1,361
CDKN1A,360
POU3F2,359
BPGM_ZBTB1,358
SGK1_S1PR2,358
ETS2_CEBPE,354
SAMD1_PTPN12,351
SGK1_TBX2,349
CBL_CNN1,348
FOSB_PTPN12,345
PTPN12_OSR2,339
MAP2K3_SLC38A2,338
KLF1_TGFBR2,337
CBL_PTPN12,334
SLC38A2,332
CEBPB_PTPN12,331
RREB1,331
FOXA3_HOXB9,329
TMSB4X_BAK1,329
COL1A1,328
RHOXF2,327
TGFBR2_C19orf26,325
UBASH3B_PTPN9,325
ETS2_MAP7D1,324
RHOXF2_SET,321
EGR1,321
TGFBR2_ETS2,318
KLF1_CEBPA,311
PTPN12_UBASH3A,311
POU3F2_FOXL2,309
STIL,306
CBL_PTPN9,305
HK2,303
PTPN12_ZBTB25,303
MAPK1_IKZF3,302
MAP2K6_SPI1,302
BPGM_SAMD1,301
TGFBR2_IGDCC3,301
MAP2K6_IKZF3,300
SGK1_TBX3,300
SNAI1_UBASH3B,299
MIDN,298
UBASH3B_PTPN12,298
KLF1_COL2A1,297
DUSP9_PRTG,297
PRDM1,297
FOXA1_HOXB9,294
DUSP9_MAPK1,290
FEV_ISL2,284
PTPN12_SNAI1,283
KIAA1804,278
FEV_MAP7D1,277
AHR_FEV,276
HOXA13,274
FOXA1_FOXF1,272
PTPN13,270
JUN,266
TGFBR2_PRTG,265
ZBTB10_PTPN12,265
C3orf72,264
KLF1_MAP2K6,263
RHOXF2_ZBTB25,263
MAP2K3_IKZF3,260
UBASH3B_ZBTB25,255
KIF18B,254
TP73,248
FOSB_IKZF3,247
ZNF318_FOXL2,246
CKS1B,241
KMT2A,241
SAMD1_UBASH3B,240
KLF1_CLDN6,237
NCL,237
CEBPE_CNN1,237
HNF4A,237
ARID1A,232
CDKN1C,229
POU3F2_CBFA2T3,216
FOXA3_FOXA1,216
CITED1,215
FOXO4,215
CEBPB_OSR2,211
FOXF1_HOXB9,200
FOXL2_MEIS1,193
NIT1,192
FOXF1_FOXL2,192
LYL1_CEBPB,192
FOXA1_FOXL2,192
SAMD1_ZBTB1,190
CBL_TGFBR2,188
ZBTB10_ELMSAN1,182
DUSP9_SNAI1,182
CEBPE_CEBPA,179
CEBPE_SPI1,179
CNN1_UBASH3A,178
FOXA3_FOXF1,175
BCL2L11_BAK1,175
ZBTB10,162
FEV_CBFA2T3,159
FOSB_CEBPE,151
IGDCC3_ZBTB25,141
IGDCC3_PRTG,140
CDKN1B_CDKN1A,134
FOXA3_FOXL2,130
SNAI1_DLX2,129
HES7,126
CDKN1C_CDKN1A,125
CEBPE_CEBPB,114
PLK4,113
CDKN1C_CDKN1B,107
PRDM1_CBFA2T3,105
ZBTB10_SNAI1,100
FOXL2_HOXB9,96
KIF18B_KIF2C,95
ZBTB10_DLX2,89
ZC3HAV1_CEBPA,86
PLK4_STIL,81
SAMD1_TGFBR2,72
FOSB_CEBPB,71
CBL_UBASH3A,64
CEBPB_CEBPA,64
C3orf72_FOXL2,59
JUN_CEBPB,59
JUN_CEBPA,54
