perturbation,mean_uncertainty,max_predicted_effect
AHR,0.003517858451232314,0.662922739982605
AHR_FEV,0.008531972765922546,0.6563478708267212
AHR_KLF1,0.004125223495066166,1.387694239616394
ARID1A,0.01010898593813181,0.6284085512161255
ARRDC3,0.003940899390727282,0.24820204079151154
ATL1,0.007173839025199413,1.3006041049957275
BAK1,0.003305424703285098,0.1724817305803299
BCL2L11,0.004889915697276592,0.25835558772087097
BCL2L11_BAK1,0.004219620954245329,0.16683104634284973
BCL2L11_TGFBR2,0.006686115171760321,0.6044267416000366
BCORL1,0.005870975088328123,0.3103068768978119
BPGM,0.006938928738236427,1.5224049091339111
BPGM_SAMD1,0.009555401280522346,2.2525904178619385
BPGM_ZBTB1,0.011433021165430546,2.074333667755127
C19orf26,0.00440477579832077,0.3216119706630707
C3orf72,0.0044034915044903755,0.32187697291374207
C3orf72_FOXL2,0.006236630491912365,0.47629326581954956
CBFA2T3,0.005955137312412262,0.585277795791626
CBL,0.004240742418915033,1.0007479190826416
CBL_CNN1,0.004420581739395857,2.729238510131836
CBL_PTPN12,0.00470062717795372,2.3343653678894043
CBL_PTPN9,0.003917455207556486,1.596696138381958
CBL_TGFBR2,0.008172479458153248,1.3627852201461792
CBL_UBASH3A,0.005446865689009428,1.484502911567688
CBL_UBASH3B,0.006026063580065966,2.0127041339874268
CDKN1A,0.009916330687701702,0.21990051865577698
CDKN1B,0.0037014917470514774,0.7451439499855042
CDKN1B_CDKN1A,0.009742374531924725,0.5662171840667725
CDKN1C,0.0038061770610511303,0.6671062707901001
CDKN1C_CDKN1A,0.009565509855747223,0.5476303100585938
CDKN1C_CDKN1B,0.0038163650315254927,1.0044269561767578
CEBPA,0.010834679007530212,1.728798270225525
CEBPB,0.009413806721568108,0.8420271873474121
CEBPB_CEBPA,0.0037475284188985825,1.6754655838012695
CEBPB_MAPK1,0.009639416821300983,0.8358123898506165
CEBPB_OSR2,0.010920917615294456,1.243463158607483
CEBPB_PTPN12,0.016463257372379303,0.8060867190361023
CEBPE,0.009775734506547451,0.2943483591079712
CEBPE_CEBPA,0.012534510344266891,1.7267768383026123
CEBPE_CEBPB,0.013517162762582302,0.8048453330993652
CEBPE_CNN1,0.010683126747608185,1.2366793155670166
CEBPE_KLF1,0.010062595829367638,1.1294809579849243
CEBPE_PTPN12,0.010370507836341858,0.8927282094955444
CEBPE_RUNX1T1,0.0096962358802557,0.32993942499160767
CEBPE_SPI1,0.011271312832832336,0.2527236044406891
CELF2,0.005725446157157421,0.26146259903907776
CITED1,0.008359109051525593,0.7337462306022644
CKS1B,0.0033532739616930485,0.7301031947135925
CLDN6,0.0043840003199875355,1.4324028491973877
CNN1,0.004592364653944969,1.5566520690917969
CNN1_MAPK1,0.004963625688105822,1.606374979019165
CNN1_UBASH3A,0.008092662319540977,2.1609554290771484
CNNM4,0.0044308435171842575,1.6542742252349854
COL1A1,0.014251542277634144,0.9372669458389282
COL2A1,0.002566130366176367,1.627492904663086
CSRNP1,0.004221131093800068,0.2457805871963501
DLX2,0.008466320112347603,0.21094146370887756
DUSP9,0.006024018861353397,1.7408393621444702
DUSP9_ETS2,0.00426878547295928,1.4632867574691772
DUSP9_IGDCC3,0.0041724918410182,2.1770410537719727
DUSP9_KLF1,0.01569175533950329,2.449471950531006
DUSP9_MAPK1,0.0062362984754145145,1.723621129989624
DUSP9_PRTG,0.007941377349197865,1.8193073272705078
DUSP9_SNAI1,0.01371198333799839,1.0630161762237549
EGR1,0.00765515211969614,0.6615685820579529
ELMSAN1,0.0050282725133001804,0.513168454170227
ETS2,0.003808776382356882,0.8303389549255371
ETS2_CEBPE,0.010918277315795422,0.8151001930236816
ETS2_CNN1,0.010773557238280773,0.7491837739944458
ETS2_IGDCC3,0.013125005178153515,0.5285298824310303
ETS2_IKZF3,0.010188925080001354,2.343003511428833
ETS2_MAP7D1,0.004102323669940233,0.8327711224555969
ETS2_MAPK1,0.004353303462266922,0.8336762189865112
ETS2_PRTG,0.0076769874431192875,0.7749050855636597
FEV,0.009127420373260975,0.2723803222179413
FEV_CBFA2T3,0.010292032733559608,0.4714873433113098
FEV_ISL2,0.008772630244493484,0.311175137758255
FEV_MAP7D1,0.0091419517993927,0.27285557985305786
FOSB,0.00496345991268754,0.22522564232349396
FOSB_CEBPB,0.009515458717942238,0.8517087697982788
FOSB_CEBPE,0.009981905110180378,0.28516334295272827
FOSB_IKZF3,0.008156384341418743,2.6502327919006348
FOSB_OSR2,0.008179105818271637,1.076080083847046
FOSB_PTPN12,0.0046918438747525215,1.1040732860565186
FOSB_UBASH3B,0.003994510974735022,0.5904215574264526
FOXA1,0.004637925885617733,0.41695094108581543
FOXA1_FOXF1,0.00476624071598053,0.4289587438106537
FOXA1_FOXL2,0.00816150289028883,0.7018158435821533
FOXA1_HOXB9,0.004870180040597916,0.8043166399002075
FOXA3,0.004645593464374542,0.41661152243614197
FOXA3_FOXA1,0.008910264819860458,0.8492621183395386
FOXA3_FOXF1,0.004665819928050041,0.40372127294540405
FOXA3_FOXL2,0.009204656817018986,0.715664267539978
FOXA3_HOXB9,0.006255577318370342,0.7793212532997131
FOXF1,0.004318227991461754,0.2932188808917999
FOXF1_FOXL2,0.006294164806604385,0.4792781472206116
FOXF1_HOXB9,0.008735686540603638,0.6452308893203735
FOXL2,0.006237630732357502,0.47645989060401917
FOXL2_HOXB9,0.004766795318573713,0.9254752993583679
FOXL2_MEIS1,0.00804566964507103,0.5390785932540894
FOXO4,0.004269865807145834,0.2903814911842346
GLB1L2,0.004357033874839544,0.28535428643226624
